unix,date,open,high,low,close,Volume USD,symbol,macd,macd_signal,macd_hist,rsi,volume,taker_buy_base,volume_delta,cvd,cvd_rolling
1502928000,2017-08-17 00:00:00,4261.48,4485.39,4200.74,4285.08,3454770.05073206,BTCUSD,0.0,0.0,0.0,,,,,,
1503014400,2017-08-18 00:00:00,4285.08,4371.52,3938.77,4108.37,5086958.30617151,BTCUSD,-3.964647,-2.202582,-1.762066,0.0,,,,,
1503100800,2017-08-19 00:00:00,4108.37,4184.69,3850.0,4139.98,1549483.73542151,BTCUSD,-4.071524,-2.968542,-1.102982,16.15,,,,,
1503187200,2017-08-20 00:00:00,4120.98,4211.08,4032.62,4086.29,1930364.39032646,BTCUSD,-5.958807,-3.981504,-1.977303,12.47,,,,,
1503273600,2017-08-21 00:00:00,4069.13,4119.62,3911.79,4016.0,2797231.71402728,BTCUSD,-9.655882,-5.669503,-3.986379,9.43,,,,,
1503360000,2017-08-22 00:00:00,4016.0,4104.82,3400.0,4040.0,3752505.77214051,BTCUSD,-10.670573,-7.025071,-3.645501,16.87,,,,,
1503446400,2017-08-23 00:00:00,4040.0,4265.8,4013.89,4114.01,4148686.46581968,BTCUSD,-7.784729,-7.21732,-0.567409,34.68,,,,,
1503532800,2017-08-24 00:00:00,4147.0,4371.68,4085.01,4316.01,3296476.41316476,BTCUSD,3.882567,-4.549809,8.432376,59.93,,,,,
1503619200,2017-08-25 00:00:00,4316.01,4453.91,4247.48,4280.68,2484637.34936327,BTCUSD,10.150025,-1.154074,11.304099,55.86,,,,,
1503705600,2017-08-26 00:00:00,4280.71,4367.0,4212.41,4337.44,977865.7333321,BTCUSD,17.371991,2.99684,14.375151,60.5,,,,,
1503792000,2017-08-27 00:00:00,4332.51,4400.0,4285.54,4310.01,1521580.06202557,BTCUSD,20.885722,6.910825,13.974896,57.36,,,,,
1503878400,2017-08-28 00:00:00,4310.01,4399.82,4124.54,4386.69,2591660.52579953,BTCUSD,27.389772,11.308844,16.080928,63.12,,,,,
1503964800,2017-08-29 00:00:00,4353.65,4625.85,4313.55,4587.48,2682483.73582991,BTCUSD,43.192276,18.056486,25.13579,73.29,,,,,
