unix,date,open,high,low,close,Volume USD,symbol,macd,macd_signal,macd_hist,rsi,volume,taker_buy_base,volume_delta,cvd,cvd_rolling,ppo,ppo_signal,ppo_hist,delta,ma_7,ma_25,ma_99,oi,oi_usd,funding_rate
1502942400,2017-08-17 04:00:00,4261.48,4313.62,4261.32,4308.83,202366.13839304,BTCUSD,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,
1502946000,2017-08-17 05:00:00,4308.83,4328.69,4291.37,4315.32,100304.82356749,BTCUSD,0.145609,0.080894,0.064715,100.0,,,,,,0.003377,0.001876,0.001501,,,,,,,
1502949600,2017-08-17 06:00:00,4330.29,4345.45,4309.37,4324.35,31282.31266989,BTCUSD,0.465554,0.238542,0.227013,100.0,,,,,,0.010785,0.005527,0.005258,,,,,,,
1502953200,2017-08-17 07:00:00,4316.62,4349.99,4287.41,4349.99,19241.05829986,BTCUSD,1.525385,0.674464,0.850921,100.0,,,,,,0.035262,0.0156,0.019662,,,,,,,
1502956800,2017-08-17 08:00:00,4333.32,4377.85,4333.32,4360.69,4239.50358563,BTCUSD,2.494945,1.216016,1.278929,100.0,,,,,,0.057567,0.028084,0.029483,,,,,,,
1502960400,2017-08-17 09:00:00,4360.0,4445.78,4360.0,4444.0,47219.35594369,BTCUSD,6.59327,2.673551,3.919719,100.0,,,,,,0.15136,0.061499,0.089861,,,,,,,
1502964000,2017-08-17 10:00:00,4441.1,4470.0,4399.81,4460.0,110290.72898792,BTCUSD,9.832826,4.485373,5.347454,100.0,,,,,,0.224776,0.10282,0.121956,,4366.17,,,,,
1502967600,2017-08-17 11:00:00,4460.0,4485.39,4427.3,4427.3,120751.56923241,BTCUSD,10.291743,5.880753,4.410991,79.23,,,,,,0.23481,0.13454,0.10027,,4383.09,,,,,
1502971200,2017-08-17 12:00:00,4436.06,4449.56,4411.0,4411.0,102126.51858538,BTCUSD,9.644239,6.750137,2.894103,71.28,,,,,,0.219829,0.154242,0.065587,,4396.76,,,,,
1502974800,2017-08-17 13:00:00,4411.0,4459.0,4411.0,4459.0,138976.63943525,BTCUSD,11.517053,7.818203,3.69885,78.21,,,,,,0.261925,0.178369,0.083556,,4416.0,,,,,
1502978400,2017-08-17 14:00:00,4459.0,4485.39,4435.93,4470.82,230871.45336595,BTCUSD,13.338578,9.026029,4.312549,79.52,,,,,,0.302693,0.20557,0.097122,,4433.26,,,,,
1502982000,2017-08-17 15:00:00,4470.82,4470.82,4333.42,4352.34,302264.18693068,BTCUSD,7.98434,8.802318,-0.817978,48.21,,,,,,0.181464,0.200393,-0.01893,,4432.07,,,,,
1502985600,2017-08-17 16:00:00,4352.33,4354.35,4255.3,4354.18,290623.45048301,BTCUSD,4.011515,7.788418,-3.776903,48.55,,,,,,0.091283,0.177302,-0.086019,,4419.23,,,,,
1502989200,2017-08-17 17:00:00,4354.18,4354.84,4235.45,4289.24,256886.35258979,BTCUSD,-2.777973,5.577921,-8.355894,38.88,,,,,,-0.063384,0.12695,-0.190334,,4394.84,,,,,
1502992800,2017-08-17 18:00:00,4289.24,4302.45,4218.68,4256.97,218259.35882004,BTCUSD,-9.777776,2.394785,-12.172561,35.14,,,,,,-0.223791,0.054244,-0.278035,,4370.51,,,,,
1502996400,2017-08-17 19:00:00,4241.91,4335.3,4200.74,4325.23,199521.93691082,BTCUSD,-10.826341,-0.326024,-10.500317,46.81,,,,,,-0.248051,-0.007966,-0.240085,,4358.25,,,,,
1503000000,2017-08-17 20:00:00,4307.56,4354.84,4258.56,4346.74,210548.88092307,BTCUSD,-10.160528,-2.338236,-7.822292,49.87,,,,,,-0.232892,-0.053988,-0.178905,,4342.22,,,,,
1503003600,2017-08-17 21:00:00,4346.74,4369.69,4309.23,4333.55,268284.94176586,BTCUSD,-10.357517,-3.971515,-6.386002,48.04,,,,,,-0.237565,-0.091377,-0.146188,,4322.61,,,,,
1503007200,2017-08-17 22:00:00,4333.55,4359.13,4310.0,4336.8,248368.27973462,BTCUSD,-10.174441,-5.23024,-4.944201,48.54,,,,,,-0.233485,-0.120214,-0.113271,,4320.39,,,,,
1503010800,2017-08-17 23:00:00,4313.39,4337.38,4280.82,4285.08,352342.56050766,BTCUSD,-13.281892,-6.859353,-6.422539,41.67,,,,,,-0.305275,-0.157658,-0.147617,,4310.52,,,,,
1503014400,2017-08-18 00:00:00,4285.08,4340.62,4228.76,4286.53,353504.41040862,BTCUSD,-15.427674,-8.58897,-6.838704,41.92,,,,,,-0.355079,-0.197509,-0.157569,,4310.13,,,,,
1503018000,2017-08-18 01:00:00,4269.36,4269.36,4134.61,4243.59,318327.52941463,BTCUSD,-19.78539,-10.8449,-8.94049,36.91,,,,,,-0.45634,-0.24966,-0.20668,,4308.22,,,,,
1503021600,2017-08-18 02:00:00,4251.95,4298.64,4234.0,4267.59,230478.62808651,BTCUSD,-21.299935,-12.948323,-8.351612,41.14,,,,,,-0.491962,-0.298408,-0.193553,,4299.98,,,,,
1503025200,2017-08-18 03:00:00,4244.77,4308.7,4234.0,4292.39,273495.00647977,BTCUSD,-20.519917,-14.469827,-6.05009,45.23,,,,,,-0.474304,-0.333754,-0.14055,,4292.22,,,,,
1503028800,2017-08-18 04:00:00,4292.39,4292.39,4234.43,4287.92,216512.63303465,BTCUSD,-19.982759,-15.576595,-4.406164,44.63,,,,,,-0.462244,-0.35955,-0.102694,,4285.7,4343.58,,,,
1503032400,2017-08-18 05:00:00,4287.92,4340.62,4250.04,4313.56,275592.04872693,BTCUSD,-17.530075,-15.968475,-1.5616,48.84,,,,,,-0.405584,-0.368785,-0.036799,,4282.38,4343.77,,,,
1503036000,2017-08-18 06:00:00,4313.56,4316.98,4247.75,4279.46,275244.60218846,BTCUSD,-17.831325,-16.341948,-1.489377,44.05,,,,,,-0.412899,-0.377629,-0.03527,,4281.58,4342.33,,,,
1503039600,2017-08-18 07:00:00,4279.46,4304.67,4270.48,4300.25,296605.4422175,BTCUSD,-16.371805,-16.347931,-0.023874,47.43,,,,,,-0.379238,-0.377951,-0.001286,,4283.54,4341.37,,,,
1503043200,2017-08-18 08:00:00,4285.0,4320.71,4259.85,4282.73,321236.59479609,BTCUSD,-16.305603,-16.339452,0.033849,44.96,,,,,,-0.377953,-0.377952,-2e-06,,4289.13,4338.68,,,,
1503046800,2017-08-18 09:00:00,4265.33,4327.25,4265.33,4304.15,196295.12733713,BTCUSD,-14.508938,-15.972896,1.463958,48.49,,,,,,-0.336372,-0.369626,0.033253,,4294.35,4336.42,,,,
1503050400,2017-08-18 10:00:00,4304.15,4371.52,4296.04,4356.31,223589.16829124,BTCUSD,-9.122749,-14.601508,5.478759,55.91,,,,,,-0.211328,-0.337935,0.126606,,4303.48,4332.91,,,,
1503054000,2017-08-18 11:00:00,4356.31,4357.37,4302.72,4340.31,104474.97561834,BTCUSD,-5.986511,-12.877143,6.890631,53.37,,,,,,-0.138616,-0.298039,0.159423,,4310.97,4328.12,,,,
1503057600,2017-08-18 12:00:00,4320.52,4340.31,4287.79,4331.71,65468.18474894,BTCUSD,-4.102864,-11.121174,7.01831,52.0,,,,,,-0.094978,-0.257401,0.162423,,4313.56,4324.3,,,,
1503061200,2017-08-18 13:00:00,4302.97,4318.16,4221.05,4293.09,199050.62300749,BTCUSD,-5.458523,-9.988069,4.529546,46.27,,,,,,-0.126423,-0.231192,0.104769,,4315.51,4319.58,,,,
1503064800,2017-08-18 14:00:00,4293.09,4293.09,4193.7,4259.4,315639.90667257,BTCUSD,-8.977309,-9.785835,0.808526,41.93,,,,,,-0.208144,-0.226581,0.018437,,4309.67,4311.6,,,,
1503068400,2017-08-18 15:00:00,4259.4,4259.4,4200.0,4236.89,169299.81132961,BTCUSD,-13.319171,-10.492732,-2.826439,39.28,,,,,,-0.309243,-0.243119,-0.066125,,4303.12,4302.24,,,,
1503072000,2017-08-18 16:00:00,4234.54,4283.79,4234.54,4250.34,191824.09143422,BTCUSD,-15.546995,-11.503847,-4.043148,41.65,,,,,,-0.361343,-0.26677,-0.094573,,4295.44,4298.16,,,,
1503075600,2017-08-18 17:00:00,4250.34,4250.34,4066.53,4193.35,263339.89958132,BTCUSD,-21.433628,-13.490216,-7.943413,35.35,,,,,,-0.499151,-0.313256,-0.185896,,4272.16,4291.73,,,,
1503079200,2017-08-18 18:00:00,4171.17,4297.75,4117.41,4117.41,105261.88964225,BTCUSD,-31.575325,-17.107839,-14.467486,29.04,,,,,,-0.737698,-0.398158,-0.33954,,4240.31,4284.85,,,,
1503082800,2017-08-18 19:00:00,4086.28,4136.48,4015.7,4136.28,246905.17944138,BTCUSD,-37.70938,-21.228695,-16.480685,32.27,,,,,,-0.883316,-0.495203,-0.388113,,4212.39,4280.03,,,,
1503086400,2017-08-18 20:00:00,4135.0,4135.0,3981.13,4021.11,80574.64559965,BTCUSD,-50.904841,-27.164555,-23.740286,24.83,,,,,,-1.197793,-0.635736,-0.562058,,4173.54,4267.86,,,,
1503090000,2017-08-18 21:00:00,4015.4,4015.4,3938.77,3975.69,58543.24828101,BTCUSD,-64.142777,-34.560829,-29.581948,22.62,,,,,,-1.51683,-0.81197,-0.70486,,4133.01,4253.02,,,,
1503093600,2017-08-18 22:00:00,3996.92,4131.83,3938.77,4113.75,120902.09262269,BTCUSD,-63.130499,-40.275152,-22.855347,40.1,,,,,,-1.496019,-0.948789,-0.54723,,4115.42,4244.23,,,,
1503097200,2017-08-18 23:00:00,4106.35,4136.48,4085.88,4108.37,184792.56721051,BTCUSD,-62.03047,-44.626452,-17.404018,39.73,,,,,,-1.472936,-1.053624,-0.419312,,4095.14,4235.09,,,,
1503100800,2017-08-19 00:00:00,4108.37,4178.31,4084.28,4163.49,170057.40754781,BTCUSD,-56.189216,-46.939106,-9.25011,45.39,,,,,,-1.335394,-1.10998,-0.225414,,4090.87,4230.23,,,,
